partner_code,partner_name,trade_value_total,trade_quantity_total
842,USA,1802824455.6971242,451687069.2658795
392,Japan,870648429.3808727,198351606.127079
344,"China, Hong Kong SAR",820063611.7735877,1300242772.971655
410,Rep. of Korea,729437845.0099331,262200513.0449573
276,Germany,605461446.8507781,60049028.43863477
490,"Other Asia, nes",417416441.3139411,118303234.69631562
036,Australia,398878580.87792957,2478349176.672979
704,Viet Nam,303226068.5271849,157555141.63763154
643,Russian Federation,262801888.1418537,407557452.94895923
826,United Kingdom,246128453.28035697,66562513.49412692
