hs2,hs2_desc,total_value
85,Electric motors: of an output not exceeding 37.5W,6863935887.321151
84,Nuclear reactors,6260748900.14345
27,"Coal: anthracite, whether or not pulverised, but not agglomerated",5735919010.369102
87,Tractors: pedestrian controlled,4300781613.0158205
71,"Pearls: natural, whether or not worked or graded (but not strung, mounted or set), temporarily strung for the convenience of transport",1914484467.5824032
39,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94",1774139433.5062177
30,"Glands and other organs: extracts of glands or other organs or of their secretions, for organo-therapeutic uses",1691154649.2909412
90,"Optical fibres, optical fibre bundles and cables: excluding those of heading no. 8544",1625707351.8339376
29,Acyclic hydrocarbons: saturated,1237783957.4814184
72,"Iron: non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",1129409447.658415
