exporter_code,exporter_name,hs2,hs2_desc,total_value,total_quantity
392,Japan,87,Tractors: pedestrian controlled,477293456.0884846,35350043.98916597
392,Japan,84,Nuclear reactors,464651853.7700025,24108255.59910522
392,Japan,85,Electric motors: of an output not exceeding 37.5W,343951297.8852098,5422767.875115428
392,Japan,90,"Optical fibres, optical fibre bundles and cables: excluding those of heading no. 8544",130448988.2279539,824900.711403839
392,Japan,72,"Iron: non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",86988936.41897012,132996496.63008937
392,Japan,39,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94",82337891.69916794,18984396.511944257
392,Japan,29,Acyclic hydrocarbons: saturated,57310548.51318365,35490153.238735445
392,Japan,71,"Pearls: natural, whether or not worked or graded (but not strung, mounted or set), temporarily strung for the convenience of transport",51323656.018155664,170402.88717083866
392,Japan,73,"Iron or steel: sheet piling, whether or not drilled, punched or made from assembled elements",38994494.781950325,11168430.397272738
392,Japan,38,Graphite: artificial,35775819.826494746,2499673.684865293
